Unique ID,Q1-Current Job Title,Q2 - Did you switch careers into Data?,Q3 - Current Yearly Salary (in USD),Q4 - What Industry do you work in?,Q5 - Favorite Programming Language,Q6 - How happy are you with salary,Q6 - How happy are you with work/life balance,Q6 - How happy are you with coworkers,Q6 - How happy are you with management,Q6 - How happy are you with upward mobility,Q6 - How happy are you with learning new things,Q7 - How difficult was it for you to break into Data?,"Q8 - If you were to look for a new job today, what would be the most important thing to you?",Q9 - Male/Female?,Q10 - Current Age,Q11 - Which Country do you live in?,Q12 - Highest Level of Education,Q13 - Ethnicity
62a33b3db4da29969c62df3d,data-related roles,Yes,115500.0,healthcare & medical,Python,9.0,9.0,7.0,5.0,5.0,7.0,Very Difficult,Remote Work,Male,26,united states,,White/Caucasian
62a33ba1bae91e4b8b82e35c,data-related roles,No,53000.0,finance & insurance,R,1.0,2.0,5.0,2.0,1.0,3.0,Very Difficult,Remote Work,Male,36,canada,,Asian/Asian American
62a33c2cbc6861bf3176bec1,data-related roles,No,20000.0,manufacturing & engineering,Python,0.0,8.0,7.0,5.0,7.0,7.0,Easy,Good Work/Life Balance,Male,23,nigeria,,Black/African American
62a33c8624a26260273822f9,business intelligence & analytics,Yes,187500.0,finance & insurance,R,10.0,6.0,7.0,10.0,7.0,10.0,Very Easy,Remote Work,Female,35,canada,,White/Caucasian
62a33c91f3072dd892621e03,data-related roles,Yes,53000.0,healthcare & medical,R,1.0,4.0,4.0,4.0,0.0,1.0,Difficult,Better Salary,Male,44,united states,,Black/African American
62a33cb6cf25554317300177,data-related roles,Yes,20000.0,real estate & construction,Python,2.0,3.0,3.0,3.0,3.0,2.0,Difficult,Good Work/Life Balance,Male,33,republic democratic of congo,,Black/African American
62a33cb72e54c9003e531c65,data-related roles,Yes,20000.0,finance & insurance,Python,0.0,6.0,6.0,6.0,6.0,5.0,Difficult,Better Salary,Male,24,other (please specify),,Black/African American
62a33cd30f8c8599d5af0f8f,data-related roles,Yes,137500.0,retail & consumer goods,SQL,10.0,5.0,5.0,5.0,5.0,9.0,Neither easy nor difficult,Remote Work,Male,35,united states,,Asian/Asian American
62a33cd3cf255543173001d9,data-related roles,Yes,95500.0,healthcare & medical,R,4.0,4.0,4.0,4.0,5.0,5.0,Neither easy nor difficult,Better Salary,Male,35,united states,,Asian/Asian American
62a33cd8bc6861bf3176c05f,data-related roles,Yes,53000.0,technology & it,Python,2.0,0.0,3.0,3.0,0.0,4.0,Very Difficult,Better Salary,Male,28,united states,,Hispanic/Latino
62a33ce918134ddc75ce8c30,data-related roles,Yes,75500.0,transportation & logistics,Python,10.0,10.0,8.0,8.0,8.0,10.0,Neither easy nor difficult,Remote Work,Male,37,canada,,White/Caucasian
62a33cf30a77c1a77f65baa2,data-related roles,Yes,20000.0,entertainment & media,Python,3.0,8.0,10.0,10.0,7.0,8.0,Neither easy nor difficult,Better Salary,Male,32,serbia,,White/Caucasian
62a33d15f408bae018ed370d,data-related roles,Yes,20000.0,technology & it,R,1.0,10.0,9.0,9.0,5.0,10.0,Neither easy nor difficult,Better Salary,Male,34,argentina,,Hispanic/Latino
62a33d1ebae91e4b8b82e707,data-related roles,Yes,20000.0,education & nonprofit,Python,3.0,10.0,10.0,6.0,7.0,8.0,Easy,Good Work/Life Balance,Male,30,united kingdom,,White/Caucasian
62a33d4624a26260273824c4,data-related roles,No,53000.0,real estate & construction,R,4.0,5.0,5.0,5.0,4.0,5.0,Neither easy nor difficult,Good Culture,Male,31,united states,,White/Caucasian
62a33d5c0f8c8599d5af107c,data-related roles,Yes,53000.0,finance & insurance,Python,4.0,10.0,7.0,7.0,7.0,5.0,Difficult,Good Culture,Male,29,united states,,White/Caucasian
62a33d850f8c8599d5af10cb,data-related roles,Yes,20000.0,technology & it,Python,1.0,2.0,4.0,2.0,2.0,2.0,Neither easy nor difficult,Better Salary,Male,22,niger,,Black/African American
62a33d9bf8f7561645852496,miscellaneous,Yes,20000.0,retail & consumer goods,Python,1.0,3.0,2.0,2.0,4.0,1.0,Difficult,Better Salary,Male,23,united states,,Black/African American
